App ID,App Start Time,App Submission Time,Applicant Name,Applicant Email,Applicant Phone,Applicant SSN,Applicant Mailing,Renter Count,Unit Type,Requested Amount,Origin IP,classification, AI_prediction,geoLocation
104031,2/26/2022 19:59,2/26/2022 20:07,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"3008 Delpha Manors, Apt. 996, 05574-2719, North Lisamouth, Nebraska, United States",3,Multi-Family,51000,130.127.110.245,,,
105643,2/3/2022 1:38,2/3/2022 1:53,"Adams, Charlie",c.adams@randatmail.com,(134)-646-0411,459-58-6593,"093 Sporer Knoll, Apt. 604, 81361-2894, Port Karen, Pennsylvania, United States",2,Single-Family,43000,193.14.172.30,,,
110076,3/26/2022 10:24,3/26/2022 10:27,"Adams, Evelyn",e.adams@randatmail.com,(119)-870-7121,543-41-7231,"00639 Carlotta Mountains, Suite 215, 06617-9192, Lake Mikaylaborough, Mississippi, United States",1,Single-Family,3000,183.205.121.116,,,
114912,4/12/2022 4:26,4/12/2022 4:27,"Adams, Lucy",l.adams@randatmail.com,(305)-052-9880,877-11-3204,"7524 Prosacco Plaza, Suite 005, 54833, Port Gage, Florida, United States",1,Single-Family,9000,98.166.199.148,,,
115718,1/1/2022 16:26,1/1/2022 16:42,"Adams, Lucy",l.adams@randatmail.com,(305)-052-9880,877-11-3204,"2112 Stamm Radial, Apt. 253, 55920-6463, Dejonshire, Connecticut, United States",2,Single-Family,41000,233.76.188.33,,,
116121,3/13/2022 4:55,3/13/2022 5:03,"Adams, Lucy",l.adams@randatmail.com,(305)-052-9880,877-11-3204,"5128 Walsh Squares, Apt. 297, 84233, Bashirianhaven, Connecticut, United States",3,Single-Family,59000,77.11.16.91,,,
118942,3/15/2022 15:14,3/15/2022 15:16,"Adams, Lucy",l.adams@randatmail.com,(305)-052-9880,877-11-3204,"9101 Legros Station, Suite 672, 16876, West Jess, California, United States",3,Multi-Family,54000,117.164.87.173,,,
120554,2/2/2022 3:02,2/2/2022 3:09,"Adams, Luke",l.adams@randatmail.com,(870)-786-4040,554-24-4957,"41254 Betsy Brook, Apt. 639, 44944, West Coraborough, Hawaii, United States",2,Single-Family,36000,113.214.104.189,,,
120957,4/29/2022 23:26,4/29/2022 23:40,"Adams, Luke",l.adams@randatmail.com,(870)-786-4040,554-24-4957,"06355 Stanton Glens, Suite 498, 72222, Leschstad, Louisiana, United States",3,Single-Family,53000,157.55.6.12,,,
124181,3/20/2022 10:08,3/20/2022 10:12,"Adams, Maria",m.adams@randatmail.com,(729)-518-4291,640-91-4846,"22771 Lueilwitz Glen, Apt. 389, 28396, Port Hershel, Arkansas, United States",1,Single-Family,39000,52.10.151.222,,,
126599,2/27/2022 4:54,2/27/2022 4:58,"Adams, Maria",m.adams@randatmail.com,(729)-518-4291,640-91-4846,"2166 O'Hara Flats, Apt. 499, 67931-6007, Mosciskichester, Texas, United States",1,Multi-Family,55000,224.250.47.103,,,
130226,3/23/2022 15:40,3/23/2022 15:40,"Adams, Michael",m.adams@randatmail.com,(074)-097-4690,281-11-8388,"6392 Henri Gardens, Suite 911, 18542, South Rachel, Indiana, United States",2,Single-Family,9000,10.102.104.5,,,
130629,1/21/2022 16:11,1/21/2022 16:28,"Adams, Michael",m.adams@randatmail.com,(074)-097-4690,281-11-8388,"4538 Everette Meadow, Suite 863, 51364-1240, East Holden, Georgia, United States",3,Single-Family,17000,172.69.90.185,,,
131032,6/1/2022 9:16,6/1/2022 9:28,"Adams, Michael",m.adams@randatmail.com,(074)-097-4690,281-11-8388,"815 Sister Rapids, Apt. 256, 95371-6644, Kohlerchester, Nebraska, United States",3,Single-Family,34000,52.22.193.97,,,
134256,1/4/2022 4:38,1/4/2022 4:41,"Adams, Tony",t.adams@randatmail.com,(624)-978-9620,268-84-1714,"238 Runte Islands, Apt. 478, 99932, Huelston, Nebraska, United States",1,Single-Family,1000,41.151.242.93,,,
135465,1/3/2022 5:48,1/3/2022 5:58,"Adams, Tony",t.adams@randatmail.com,(624)-978-9620,268-84-1714,"4298 Joshuah Stravenue, Apt. 770, 62191, Port Luciofort, South Dakota, United States",3,Single-Family,24000,33.194.115.0,,,
135868,6/11/2022 14:00,6/11/2022 14:10,"Adams, Tony",t.adams@randatmail.com,(624)-978-9620,268-84-1714,"01012 Americo Rapid, Suite 656, 61945-3157, North Hendersonbury, Oklahoma, United States",3,Single-Family,6000,77.34.70.156,,,
138689,2/13/2022 10:10,2/13/2022 10:13,"Alexander, Agata",a.alexander@randatmail.com,(860)-903-3460,679-52-3305,"5382 Lesch Wells, Suite 364, 85188-6161, New Shawn, Michigan, United States",1,Single-Family,46000,70.135.139.222,,,
139092,2/26/2022 17:21,2/26/2022 17:26,"Alexander, Agata",a.alexander@randatmail.com,(860)-903-3460,679-52-3305,"07806 Richard Coves, Apt. 310, 13219-2868, Schmittview, Florida, United States",1,Single-Family,21000,130.89.200.133,,,
143122,1/16/2022 17:18,1/16/2022 17:24,"Alexander, Agata",a.alexander@randatmail.com,(860)-903-3460,679-52-3305,"76190 Wintheiser Burgs, Apt. 814, 99112-4534, New Anneshire, South Carolina, United States",3,Multi-Family,60000,186.230.165.226,,,
144331,3/25/2022 21:09,3/25/2022 21:23,"Alexander, Anna",a.alexander@randatmail.com,(469)-512-3571,983-92-9091,"4632 Bettie Islands, Suite 831, 01358-7786, Beierville, North Dakota, United States",2,Single-Family,25000,173.229.179.111,,,
144734,4/28/2022 6:54,4/28/2022 7:03,"Alexander, Anna",a.alexander@randatmail.com,(469)-512-3571,983-92-9091,"31524 Alisa Manor, Suite 518, 07581-4012, North Ashtyn, Kansas, United States",2,Single-Family,56000,163.210.33.92,,,
151182,5/25/2022 21:35,5/25/2022 21:38,"Alexander, Elian",e.alexander@randatmail.com,(143)-771-9440,845-96-2771,"7584 Medhurst Ville, Suite 282, 59103-1031, Carrollburgh, West Virginia, United States",1,Multi-Family,58000,80.175.195.210,,,
153600,6/14/2022 19:40,6/14/2022 19:57,"Alexander, Grace",g.alexander@randatmail.com,(888)-836-4971,215-53-8510,"463 Satterfield Lights, Apt. 956, 40748, East Brodymouth, New Mexico, United States",1,Single-Family,23000,34.140.225.186,,,
159242,3/27/2022 3:00,3/27/2022 3:08,"Alexander, James",j.alexander@randatmail.com,(482)-593-9771,937-06-6757,"75357 Edwina Circle, Suite 626, 56138-1172, South Raphaelle, North Dakota, United States",3,Single-Family,25000,246.60.112.224,,,
