Application ID,Application Start Time,Application End Time,Applicant Name,Applicant Email,Applicant Phone #,Applicant Social Security #,Applicant Address,Renter Quantity,Unit Type,Requested Amount,Originating IP Address,Classification,Originating Country
100001,2022-04-24 22:33:19.000000,2022-04-24 22:38:37.000000,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"806 Maiya Manor, Apt. 339, 87985-6193, Abshirefort, Arizona, United States",1,Single-Family,48000.00,93.76.212.64,,Ukraine
1000303,2022-03-11 19:14:23.000000,2022-03-11 19:24:50.000000,"Cole, Albert",a.cole@randatmail.com,(667)-006-1850,500-80-4752,"5247 Will Junctions, Apt. 886, 95444, Shanahanbury, Florida, United States",1,Multi-Family,58000.00,105.120.26.195,Fraud,Nigeria
1000706,2022-03-20 23:49:10.000000,2022-03-21 00:02:45.000000,"Cole, Albert",a.cole@randatmail.com,(667)-006-1850,500-80-4752,"0722 Victoria Course, Suite 967, 47447-7476, Tarafurt, Indiana, United States",1,Multi-Family,29000.00,53.9.100.252,Legitimate,Germany
1001109,2022-01-30 07:19:19.000000,2022-01-30 07:21:43.000000,"Cole, Albert",a.cole@randatmail.com,(667)-006-1850,500-80-4752,"235 Maggio Bridge, Apt. 818, 52506-0665, Port Aurelioland, Missouri, United States",2,Multi-Family,16000.00,252.212.79.34,Legitimate,
1001512,2022-06-18 20:45:57.000000,2022-06-18 21:07:16.000000,"Cole, Albert",a.cole@randatmail.com,(667)-006-1850,500-80-4752,"68837 Gottlieb Divide, Apt. 045, 15649, Lake Newtonport, Oklahoma, United States",2,Multi-Family,36000.00,159.50.27.225,Legitimate,France
1001915,2022-05-18 12:20:51.000000,2022-05-18 12:26:31.000000,"Cole, Albert",a.cole@randatmail.com,(667)-006-1850,500-80-4752,"862 Webster Course, Suite 519, 52277, Lake Jimmie, Iowa, United States",3,Multi-Family,44000.00,222.1.65.48,,Japan
1002318,2022-04-24 04:27:58.000000,2022-04-24 04:35:02.000000,"Cole, Albert",a.cole@randatmail.com,(667)-006-1850,500-80-4752,"09260 Minerva Passage, Suite 091, 92315, Marilynechester, Utah, United States",3,Multi-Family,14000.00,188.206.102.140,Legitimate,Netherlands
1002721,2022-06-18 11:51:05.000000,2022-06-18 12:11:01.000000,"Cole, Eric",e.cole@randatmail.com,(521)-456-1491,772-44-2498,"74740 Wilson Lane, Apt. 943, 84326-6099, Lake Kenyattamouth, Nevada, United States",1,Single-Family,53000.00,119.201.207.202,Fraud,South Korea
1003124,2022-01-29 13:47:04.000000,2022-01-29 14:02:13.000000,"Cole, Eric",e.cole@randatmail.com,(521)-456-1491,772-44-2498,"9672 Lelah Passage, Apt. 300, 03996-5892, Port Stuartville, Massachusetts, United States",1,Single-Family,42000.00,58.27.103.191,,Malaysia
1003527,2022-03-11 23:40:31.000000,2022-03-11 23:42:09.000000,"Cole, Eric",e.cole@randatmail.com,(521)-456-1491,772-44-2498,"450 Meda Forge, Apt. 795, 91942-6961, Rhiannonland, Wisconsin, United States",2,Single-Family,12000.00,91.202.135.130,Legitimate,Ukraine
